"VGC id","Name","Platform","Notes","Cart","Box","Manual","Other","Purchased Price","Purchased Date","Added",
"212387","Kirby and the Forgotten Land","Nintendo Switch [EU]","","No","No","No","No","","0000-00-00","2024-03-06 16:47:22",
"127099","Kirby Star Allies","Nintendo Switch [EU]","","No","No","No","No","","0000-00-00","2024-12-31 08:00:03",
"214406","Klonoa Phantasy Reverie Series","PlayStation 5 [EU]","","No","No","No","No","","0000-00-00","2023-04-29 07:23:21",
"53554","Knack","PlayStation 4 [EU]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2021-06-11 13:33:06",
"133785","Knack II","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2020-12-29 12:41:55",
"55357","L.A. Noire: The Complete Edition","Xbox 360 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 13:23:11",
"47684","Lair","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2021-09-13 14:28:36",
"58106","Lara Croft and the Guardian of Light","Xbox Games Store (X360) [EU]","","No","No","No","No","","0000-00-00","2017-01-24 19:16:41",
"159952","Lara Croft and The Temple of Osiris","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2022-07-23 05:02:24",
"49618","Last Bronx","Sega Saturn [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-12 18:20:42",
"115649","Last Guardian, The - Collector's Edition","PlayStation 4 [EU]","","Yes","Yes","Yes","Yes","110.00","2016-12-09","2016-12-09 21:03:16",
"116602","Last of Us Part II, The","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2022-12-24 16:11:52",
"44865","Last of Us, The","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2020-09-25 08:01:31",
"31593","Legend of Spyro, The: A New Beginning","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2021-04-23 10:06:29",
"66671","Legend of Spyro, The: Dawn of the Dragon","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2022-02-04 09:27:23",
"62791","Legend of Spyro, The: The Eternal Night","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2021-04-23 10:06:34",
"267915","Legend of Zelda, The: Echoes of Wisdom","Nintendo Switch [EU]","","No","No","No","No","","0000-00-00","2025-02-12 04:53:45",
"41418","Legend of Zelda, The: Skyward Sword - Limited Edition Pack","Wii [EU]","","No","No","No","No","","0000-00-00","2015-04-13 14:28:41",
"227195","Legend of Zelda, The: Tears of the Kingdom","Nintendo Switch [EU]","","No","No","No","No","","0000-00-00","2023-05-12 17:17:25",
"45480","LEGO Star Wars: The Complete Saga","Xbox 360 [EU]","","Yes","Yes","Yes","Yes","","0000-00-00","2016-10-26 07:41:19",
"67701","Let's Tap - Special Edition","Wii [EU]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-04-13 14:26:34",
"118648","Life Is Strange","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2017-01-25 12:08:35",
"139033","Life Is Strange: Before the Storm - Limited Edition","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2019-11-30 12:42:16",
"42133","Link's Crossbow Training","Wii [EU]","","No","No","No","No","","0000-00-00","2021-04-11 06:08:36",
"19199","LittleBIGPlanet","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2018-11-24 11:50:49",
"15607","LittleBIGPlanet 2","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2020-09-29 06:24:03",
"76288","LittleBigPlanet 3","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2022-12-09 19:26:36",
"64259","LittleBIGPlanet Karting","PlayStation 3 [EU]","","No","No","No","No","","0000-00-00","2022-03-19 16:10:08",
"69645","LocoRoco","PlayStation Portable [EU]","","No","No","No","No","","0000-00-00","2023-11-03 09:08:48",
"32903","LocoRoco 2","PlayStation Portable [EU]","","No","No","No","No","","0000-00-00","2023-07-21 08:10:48",
"43694","Lollipop Chainsaw","Xbox 360 [EU]","","No","No","No","No","","0000-00-00","2015-04-23 05:06:50",
"81941","Looney Tunes Racing","PlayStation [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 10:28:05",
"22763","Lord of Arcana - Slayer Edition","PlayStation Portable [EU]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-04-12 17:52:05",
"200047","Lost Judgment","PlayStation 5 [EU]","","No","No","No","No","","0000-00-00","2023-03-15 20:35:55",
"18420","Lost Odyssey [DK][FI][NO][SE]","Xbox 360 [EU]","","No","No","No","No","","0000-00-00","2015-04-15 10:42:50",
"62916","Lost Planet: Extreme Condition - Limited Edition","Xbox 360 [EU]","","No","No","No","No","","0000-00-00","2015-04-15 10:42:50",
"270288","Luigi’s Mansion 2 HD","Nintendo Switch [EU]","","No","No","No","No","","0000-00-00","2024-12-21 06:44:49",
"19678","MadWorld","Wii [EU]","New/Sealed","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-04-12 17:32:18",
"179659","Mafia Trilogy","PlayStation 4 [EU]","","No","No","No","No","","0000-00-00","2021-11-30 11:52:36",
"75536","Magic Made Fun","Nintendo DS [EU]","","Yes","Yes","Yes","Yes","0.00","0000-00-00","2015-04-12 17:35:51",
"64398","Majin and the Forsaken Kingdom","Xbox 360 [EU]","","No","No","No","No","0.00","0000-00-00","2015-04-15 13:23:31",
"38558","Manhunt","PlayStation 2 [EU]","","No","No","No","No","","0000-00-00","2015-04-15 13:18:07",
