Index,Jogo,Consola
227,"Godfather, The - Limited Edition",PlayStation 2 [EU]
228,Golden Sun: The Lost Age,Game Boy Advance [EU]
229,Gran Turismo - Collector's Edition,PlayStation Portable [EU]
230,Gran Turismo 3: A-Spec,PlayStation 2 [EU]
231,Gran Turismo 4,PlayStation 2 [EU]
232,Gran Turismo 5 - Signature Edition,PlayStation 3 [EU]
233,Gran Turismo 5 Prologue,PlayStation 3 [EU]
234,Gran Turismo 6,PlayStation 3 [EU]
235,Gran Turismo Concept 2002 Tokyo-Geneva,PlayStation 2 [EU]
236,Gran Turismo Sport,PlayStation 4 [EU]
237,Grand Theft Auto III,PlayStation 2 [EU]
238,Grand Theft Auto IV,Xbox 360 [EU]
239,Grand Theft Auto V [DE],PlayStation 3 [EU]
240,Grand Theft Auto: Chinatown Wars,PlayStation Portable [EU]
241,Grand Theft Auto: Episodes From Liberty City,Xbox 360 [EU]
242,Grand Theft Auto: Liberty City Stories,PlayStation Portable [EU]
243,Grand Theft Auto: San Andreas - Platinum,PlayStation 2 [EU]
244,Grand Theft Auto: Vice City [UK],PlayStation 2 [EU]
245,Grand Theft Auto: Vice City Stories,PlayStation Portable [EU]
246,Gravity Rush 2,PlayStation 4 [EU]
247,Gravity Rush Remastered,PlayStation 4 [EU]
248,Guitar Hero 5,Xbox 360 [EU]
249,Guitar Hero II,Xbox 360 [EU]
250,Guitar Hero III: Legends of Rock [SE][FI][NO][DK],Xbox 360 [EU]
251,Guitar Hero World Tour,Xbox 360 [EU]
252,Guitar Hero: Metallica,Xbox 360 [EU]
253,Guitar Hero: Warriors of Rock,Xbox 360 [EU]
254,Gunstar Future Heroes,Game Boy Advance [EU]
255,Halo 2,Xbox [EU]
256,Halo 3 - Limited Edition,Xbox 360 [EU]
257,Halo 3: ODST - Special Edition,Xbox 360 [EU]
258,Halo 4 - Limited Edition,Xbox 360 [EU]
259,Halo Infinite,Xbox One [EU]
260,Halo: Combat Evolved,Xbox [EU]
261,Halo: Combat Evolved Anniversary,Xbox 360 [EU]
262,Halo: Reach - Limited Edition,Xbox 360 [EU]
263,Headhunter,Sega Dreamcast [EU]
264,Headhunter: Redemption,Xbox [EU]
265,Heavenly Sword,PlayStation 3 [EU]
266,Heavy Rain - Special Edition [DE],PlayStation 3 [EU]
267,Hellblade: Senua’s Sacrifice [UK],PlayStation 4 [EU]
268,Hexic HD,Xbox Games Store (X360) [EU]
269,Hitman: The Triple Hit Pack,PlayStation 2 [EU]
270,Horizon Chase Turbo: Senna Sempre - Edição Especial,PlayStation 4 [BR]
271,Horizon Zero Dawn,PlayStation 4 [EU]
272,"House of the Dead 2 & 3 Return, The",Wii [EU]
273,"House of the Dead, The: Overkill - Collector's Edition",Wii [EU]
274,Ico - Limited Edition,PlayStation 2 [EU]
275,Ikaruga,Xbox Games Store (X360) [EU]
276,In The Mix featuring Armin van Buuren - Limited Edition,Wii [EU]
277,inFamous - Special Edition,PlayStation 3 [EU]
278,Infamous 2 - Special Edition,PlayStation 3 [EU]
279,inFamous: First Light,PlayStation 4 [EU]
280,inFamous: Second Son,PlayStation 4 [EU]
281,Infinite Space,Nintendo DS [EU]
282,ISS Pro Evolution [DE][FR],PlayStation [EU]
283,It Takes Two,PlayStation 4 [EU]
284,Jak 3,PlayStation 2 [EU]
285,Jak and Daxter: The Lost Frontier,PlayStation Portable [EU]
286,Jak and Daxter: The Precursor Legacy,PlayStation 2 [EU]
287,Jak II: Renegade,PlayStation 2 [EU]
288,Jak X,PlayStation 2 [EU]
289,Jet Set Radio,Sega Dreamcast [EU]
290,Journey - Collector's Edition,PlayStation 4 [EU]
291,JSRF: Jet Set Radio Future [FR],Xbox [EU]
292,Judgment,PlayStation 5 [EU]
293,Just Cause [NL],PlayStation 2 [EU]
294,Killer Is Dead - Limited Edition,Xbox 360 [EU]
295,Killzone,PlayStation 2 [EU]
296,Killzone 2 - Limited Edition Collector's Box,PlayStation 3 [EU]
297,Killzone 3 - Helghast Edition,PlayStation 3 [EU]
298,Killzone: Liberation,PlayStation Portable [EU]
299,Killzone: Shadow Fall,PlayStation 4 [EU]
300,Kingdom Hearts - Platinum,PlayStation 2 [EU]
301,Kingdom Hearts 358/2 Days,Nintendo DS [EU]
302,Kingdom Hearts II,PlayStation 2 [EU]
303,Kingdom Hearts III,PlayStation 4 [EU]
304,Kingdom Hearts Re:coded,Nintendo DS [EU]
305,Kingdom Hearts: The Story So Far,PlayStation 4 [EU]
306,Kirby and the Forgotten Land,Nintendo Switch [EU]
307,Kirby Star Allies,Nintendo Switch [EU]
308,Klonoa Phantasy Reverie Series,PlayStation 5 [EU]
309,Knack,PlayStation 4 [EU]
310,Knack II,PlayStation 4 [EU]
311,L.A. Noire: The Complete Edition,Xbox 360 [EU]
312,Lair,PlayStation 3 [EU]
313,Lara Croft and the Guardian of Light,Xbox Games Store (X360) [EU]
314,Lara Croft and The Temple of Osiris,PlayStation 4 [EU]
315,Last Bronx,Sega Saturn [EU]
316,"Last Guardian, The - Collector's Edition",PlayStation 4 [EU]
317,"Last of Us Part II, The",PlayStation 4 [EU]
318,"Last of Us, The",PlayStation 3 [EU]
319,"Legend of Spyro, The: A New Beginning",PlayStation 2 [EU]
320,"Legend of Spyro, The: Dawn of the Dragon",PlayStation 2 [EU]
321,"Legend of Spyro, The: The Eternal Night",PlayStation 2 [EU]
322,"Legend of Zelda, The: Echoes of Wisdom",Nintendo Switch [EU]
323,"Legend of Zelda, The: Skyward Sword - Limited Edition Pack",Wii [EU]
324,"Legend of Zelda, The: Tears of the Kingdom",Nintendo Switch [EU]
325,LEGO Star Wars: The Complete Saga,Xbox 360 [EU]
326,Let's Tap - Special Edition,Wii [EU]
327,Life Is Strange,PlayStation 4 [EU]
328,Life Is Strange: Before the Storm - Limited Edition,PlayStation 4 [EU]
329,Link's Crossbow Training,Wii [EU]
330,LittleBIGPlanet,PlayStation 3 [EU]
331,LittleBIGPlanet 2,PlayStation 3 [EU]
332,LittleBigPlanet 3,PlayStation 4 [EU]
