Index,Jogo,Consola
490,Ratchet & Clank: Qforce,PlayStation 3 [EU]
491,Ratchet & Clank: Quest for Booty,PlayStation 3 [EU]
492,Ratchet & Clank: Size Matters,PlayStation Portable [EU]
493,Ratchet & Clank: Tools of Destruction,PlayStation 3 [EU]
494,Ratchet: Gladiator,PlayStation 2 [EU]
495,Rayman 10th Anniversary,PlayStation 2 [EU]
496,Rayman Origins,PlayStation 3 [EU]
497,Red Dead Redemption 2,PlayStation 4 [EU]
498,Red Dead Redemption: Game of the Year Edition,Xbox 360 [EU]
499,Red Dead Revolver,Xbox [EU]
500,Red Steel,Wii [EU]
501,Resident Evil 2 (2019),PlayStation 4 [EU]
502,Resident Evil 3 (2020),PlayStation 4 [EU]
503,Resident Evil 4 - Limited Edition,PlayStation 2 [EU]
504,Resident Evil 5 [NL],Xbox 360 [EU]
505,Resident Evil 6 [UK],Xbox 360 [EU]
506,Resident Evil 7: Biohazard (IS70006-01 / reviews cover),PlayStation 4 [EU]
507,Resident Evil: The Umbrella Chronicles (RVL-RBUP-UXP / white PEGI rating),Wii [EU]
508,Resistance 2,PlayStation 3 [EU]
509,Resistance 3,PlayStation 3 [EU]
510,Resistance: Fall of Man,PlayStation 3 [EU]
511,Resonance of Fate,Xbox 360 [EU]
512,"Revenge of Shinobi, The",Sega Mega Drive [EU]
513,Ridge Racer 7,PlayStation 3 [EU]
514,Rise of the Tomb Raider: 20 Year Celebration,PlayStation 4 [EU]
515,Ristar,Sega Mega Drive [EU]
516,Rocket Knight,Xbox Games Store (X360) [EU]
517,Samba de Amigo,Wii [EU]
518,Scarface: The World Is Yours - Collector's Edition,PlayStation 2 [EU]
519,"Schtroumpfs Autour du Monde, Les",Sega Mega Drive [EU]
520,Secret Agent Clank,PlayStation Portable [EU]
521,Sega GT,Sega Dreamcast [EU]
522,Sega GT 2002 / Jet Set Radio Future,Xbox [EU]
523,Sega Rally,Xbox 360 [EU]
524,Sega Rally Championship,Sega Saturn [EU]
525,Sega Rally Championship 2,Sega Dreamcast [EU]
526,Sega Superstars,PlayStation 2 [EU]
527,Sega Superstars Tennis,Xbox 360 [EU]
528,Shadow Complex,Xbox Games Store (X360) [EU]
529,Shadow Dancer: The Secret of Shinobi,Sega Mega Drive [EU]
530,Shadow Hearts: From the New World,PlayStation 2 [EU]
531,Shadow of the Colossus,PlayStation 4 [EU]
532,Shadow of the Colossus (slipcover),PlayStation 2 [EU]
533,Shadow of the Tomb Raider,PlayStation 4 [EU]
534,Shadow the Hedgehog,PlayStation 2 [EU]
535,Shadows of the Damned,Xbox 360 [EU]
536,Shenmue,Sega Dreamcast [EU]
537,Shenmue I & II,PlayStation 4 [EU]
538,Shenmue II,Sega Dreamcast [EU]
539,Shenmue II,Xbox [EU]
540,Shenmue III - Day 1 Edition,PlayStation 4 [EU]
541,Shin Megami Tensei: Persona 3 FES,PlayStation 2 [EU]
542,Shinobi,PlayStation 2 [EU]
543,"Shoot, The [UK]",PlayStation 3 [EU]
544,Sine Mora EX,PlayStation 4 [EU]
545,SingStar,PlayStation 2 [EU]
546,SingStar: Best of Disney,PlayStation 2 [EU]
547,Skate 2,PlayStation 3 [EU]
548,Skate 3 [NL][BE],PlayStation 3 [EU]
549,Sly 2: Band of Thieves,PlayStation 2 [EU]
550,Sly 3: Honor Among Thieves,PlayStation 2 [EU]
551,Sly Cooper: Thieves In Time,PlayStation 3 [EU]
552,Sly Raccoon [SE][DK][FI][NO],PlayStation 2 [EU]
553,Smash Court Tennis Pro Tournament 2,PlayStation 2 [EU]
554,SOCOM II: U.S. Navy Seals,PlayStation 2 [EU]
555,Sonic & All-Stars Racing Transformed - Limited Edition,Xbox 360 [EU]
556,"Sonic & Knuckles (1563-50, black insert)",Sega Mega Drive [EU]
557,Sonic & Sega All-Stars Racing with Banjo-Kazooie [UK],Xbox 360 [EU]
558,Sonic 3,Sega Mega Drive [EU]
559,Sonic 3D: Flickies Island,Sega Saturn [EU]
560,Sonic 3D: Flickies' Island,Sega Mega Drive [EU]
561,Sonic Advance,Game Boy Advance [EU]
562,Sonic Advance 2,Game Boy Advance [EU]
563,Sonic Advance 3,Game Boy Advance [EU]
564,Sonic Adventure,Sega Dreamcast [EU]
565,Sonic Adventure 2,Sega Dreamcast [EU]
566,Sonic Adventure 2 Birthday Pack,Sega Dreamcast [JP]
567,Sonic Adventure 2: Battle,GameCube [EU]
568,Sonic Adventure DX: Director's Cut,GameCube [EU]
569,Sonic and the Black Knight,Wii [EU]
570,Sonic and the Secret Rings,Wii [EU]
571,Sonic Battle,Game Boy Advance [EU]
572,Sonic Boom: Fire & Ice,Nintendo 3DS [EU]
573,Sonic Boom: Rise of Lyric,Wii U [EU]
574,Sonic Boom: Shattered Crystal,Nintendo 3DS [EU]
575,Sonic CD,Sega Mega CD [EU]
576,Sonic Chaos,Sega Master System [EU]
577,Sonic Chronicles: The Dark Brotherhood,Nintendo DS [EU]
578,Sonic Classic Collection - Edición Limitada,Nintendo DS [EU]
579,Sonic Colours,Wii [EU]
580,Sonic Colours,Nintendo DS [EU]
581,Sonic Colours: Ultimate,PlayStation 4 [EU]
582,Sonic Compilation,Sega Mega Drive [EU]
583,Sonic Forces,PlayStation 4 [EU]
584,Sonic Free Riders,Xbox 360 [EU]
585,Sonic Frontiers,PlayStation 5 [EU]
586,Sonic Gems Collection,PlayStation 2 [EU]
587,Sonic Generations,Nintendo 3DS [EU]
588,Sonic Generations - Collector's Edition,Xbox 360 [EU]
589,Sonic Heroes,PlayStation 2 [EU]
590,Sonic Jam,Sega Saturn [EU]
591,Sonic Mania - Collector's Edition,PlayStation 4 [EU]
592,Sonic Mania Plus,PlayStation 4 [EU]
593,Sonic Mega Collection,GameCube [EU]
594,Sonic Mega Collection Plus,PlayStation 2 [EU]
595,Sonic Origins Plus,PlayStation 5 [EU]
596,Sonic Pinball Party,Game Boy Advance [EU]
597,Sonic R,Sega Saturn [EU]
598,Sonic Riders,PlayStation 2 [EU]
599,Sonic Riders: Zero Gravity,PlayStation 2 [EU]
600,Sonic Rivals [SE][FI],PlayStation Portable [EU]
601,Sonic Rivals 2,PlayStation Portable [EU]
602,Sonic Rush,Nintendo DS [EU]
603,Sonic Rush Adventure,Nintendo DS [EU]
604,Sonic Shuffle,Sega Dreamcast [EU]
605,Sonic Spinball,Sega Mega Drive [EU]
606,Sonic Superstars,PlayStation 5 [EU]
607,Sonic The Hedgehog,Sega Master System [EU]
608,Sonic the Hedgehog,Xbox 360 [EU]
609,Sonic the Hedgehog (Made in China),Sega Mega Drive [EU]
610,Sonic the Hedgehog 2,Sega Master System [EU]
611,Sonic the Hedgehog 2 (Made in Japan),Sega Mega Drive [EU]
612,Sonic the Hedgehog 4: Episode I,Xbox Games Store (X360) [EU]
613,Sonic the Hedgehog 4: Episode II,Xbox Games Store (X360) [EU]
614,Sonic Unleashed (INL-XT206601-UK),Xbox 360 [EU]
615,Sonic: Lost World,Nintendo 3DS [EU]
616,Sonic: Lost World,Wii U [EU]
617,SonicN [ES],N-Gage [EU]
618,Sorcery,PlayStation 3 [EU]
619,Soul Blade,PlayStation [EU]
620,SoulCalibur,Sega Dreamcast [EU]
621,SoulCalibur II,PlayStation 2 [EU]
622,SoulCalibur III,PlayStation 2 [EU]
623,SoulCalibur IV,PlayStation 3 [EU]
624,SoulCalibur V,PlayStation 3 [EU]
625,SoulCalibur VI,PlayStation 4 [EU]
626,SoulCalibur: Broken Destiny,PlayStation Portable [EU]
627,South Park: The Fractured But Whole,PlayStation 4 [EU]
628,South Park: The Stick of Truth,PlayStation 3 [EU]
629,Space Gun,Sega Master System [EU]
630,Spec Ops: The Line,Xbox 360 [EU]
631,Spider-Man - Platinum,PlayStation [EU]
632,Spider-Man 2,PlayStation 2 [EU]
633,Spider-Man: The Movie,PlayStation 2 [EU]
634,Split/Second: Velocity,Xbox 360 [EU]
635,Spyro 2: Gateway to Glimmer,PlayStation [EU]
636,Spyro Reignited Trilogy,PlayStation 4 [EU]
637,Spyro: A Hero's Tail,PlayStation 2 [EU]
638,Spyro: Enter the Dragonfly,PlayStation 2 [EU]
639,Spyro: Shadow Legacy,Nintendo DS [EU]
640,Star Wars Battlefront,PlayStation 4 [EU]
641,Star Wars Battlefront II [FR][NL],PlayStation 4 [EU]
642,Star Wars Jedi: Fallen Order,PlayStation 5 [EU]
643,Street Fighter IV - Collector's Edition [CH][DE],Xbox 360 [EU]
644,Street Fighter V,PlayStation 4 [EU]
645,Street Fighter X Tekken [FR],PlayStation 3 [EU]
646,Streets of Rage 4,PlayStation 4 [EU]
647,Streets of Rage II,Sega Mega Drive [EU]
648,Stuart Little 2,PlayStation [EU]
649,Super Dragon Ball Z,PlayStation 2 [EU]
650,Super Mario 3D World + Bowser's Fury,Nintendo Switch [EU]
651,Super Mario All-Stars: 25th Anniversary Edition,Wii [EU]
652,Super Mario Bros. Wonder,Nintendo Switch [EU]
653,Super Mario Odyssey,Nintendo Switch [EU]
654,Super Mario RPG,Nintendo Switch [EU]
655,Super Smash Bros. - Sonic the Hedgehog,Amiibo Figures [EU]
656,Super Smash Bros. Brawl,Wii [EU]
657,Super Smash Bros. for Nintendo 3DS,Nintendo 3DS [EU]
658,Syphon Filter 2,PlayStation [EU]
659,Syphon Filter: Dark Mirror [FR],PlayStation Portable [EU]
660,Syphon Filter: Logan's Shadow,PlayStation Portable [EU]
661,Syphon Filter: The Omega Strain,PlayStation 2 [EU]
662,Tactics Ogre: Let Us Cling Together - Premium Edition,PlayStation Portable [EU]
663,Tales of Vesperia: Definitive Edition,PlayStation 4 [EU]
664,Tatsunoko vs. Capcom: Ultimate All-Stars,Wii [EU]
665,Team Sonic Racing,PlayStation 4 [EU]
666,Tearaway Unfolded - Messenger Edition,PlayStation 4 [EU]
667,Tekken,PlayStation [EU]
668,Tekken 2,PlayStation [EU]
669,Tekken 3,PlayStation [EU]
670,Tekken 3D: Prime Edition,Nintendo 3DS [EU]
671,Tekken 4,PlayStation 2 [EU]
672,Tekken 5,PlayStation 2 [EU]
673,Tekken 6,PlayStation 3 [EU]
674,Tekken 7,PlayStation 4 [EU]
675,Tekken Advance,Game Boy Advance [EU]
676,Tekken Hybrid [UK],PlayStation 3 [EU]
677,Tekken Tag Tournament,PlayStation 2 [EU]
678,Tekken Tag Tournament 2,PlayStation 3 [EU]
679,Tekken: Dark Resurrection,PlayStation Portable [EU]
680,Tekken's Nina Williams in: Death by Degrees,PlayStation 2 [EU]
681,This is Football 2003,PlayStation 2 [EU]
682,Time Crisis,PlayStation [EU]
683,Time Crisis 3,PlayStation 2 [EU]
684,Time Crisis 4,PlayStation 3 [EU]
685,Time Crisis II,PlayStation 2 [EU]
686,Time Crisis: Project Titan [DE],PlayStation [EU]
687,Time Crisis: Razing Storm,PlayStation 3 [EU]
688,Tom Clancy's Splinter Cell,Xbox [EU]
689,Tom Clancy's Splinter Cell,PlayStation 2 [EU]
690,Tom Clancy's Splinter Cell: Blacklist [DK][FI][NO][SE],Xbox 360 [EU]
691,Tom Clancy's Splinter Cell: Chaos Theory,Xbox [EU]
692,Tom Clancy's Splinter Cell: Chaos Theory,PlayStation 2 [EU]
693,Tom Clancy's Splinter Cell: Conviction - Limited Collector's Edition,Xbox 360 [EU]
694,Tom Clancy's Splinter Cell: Double Agent,Xbox 360 [EU]
695,Tom Clancy's Splinter Cell: Pandora Tomorrow,Xbox [EU]
696,Tom Clancy's Splinter Cell: Pandora Tomorrow,PlayStation 2 [EU]
697,Tomb Raider,Game Boy Color [EU]
698,Tomb Raider: Definitive Edition,PlayStation 4 [EU]
699,Tony Hawk's Skateboarding,PlayStation [EU]
700,Tony Hawk's Underground,PlayStation 2 [EU]
701,Tony Hawk's Underground 2,PlayStation 2 [EU]
702,Tourist Trophy,PlayStation 2 [EU]
703,Trials HD,Xbox Games Store (X360) [EU]
704,True Crime: Streets of LA - Platinum,PlayStation 2 [EU]
705,Ty the Tasmanian Tiger 2: Bush Rescue,PlayStation 2 [EU]
706,UEFA Euro 2000,PlayStation [EU]
707,UEFA Euro 2004: Portugal,PlayStation 2 [EU]
708,Ultimate Marvel VS Capcom 3,PlayStation 3 [EU]
709,Ultimate Spider-Man,PlayStation 2 [EU]
710,Ultra Street Fighter IV,PlayStation 3 [EU]
711,Uncharted 2: Among Thieves [UK],PlayStation 3 [EU]
712,Uncharted 3: Drake's Deception [UK],PlayStation 3 [EU]
713,Uncharted 4: A Thief's End,PlayStation 4 [EU]
714,Uncharted: Drake's Fortune,PlayStation 3 [EU]
715,Uncharted: Golden Abyss,PlayStation Vita [EU]
716,Uncharted: The Lost Legacy,PlayStation 4 [EU]
717,Until Dawn,PlayStation 4 [EU]
718,Vagrant Story,PlayStation [EU]
719,Valkyria Chronicles,PlayStation 3 [EU]
720,Valkyria Chronicles 4,PlayStation 4 [EU]
721,Valkyrie Profile 2: Silmeria,PlayStation 2 [EU]
722,Vanquish - Limited Edition (Zavvi Exclusive),Xbox 360 [EU]
723,Virtua Cop - Elite Edition,PlayStation 2 [EU]
724,Virtua Cop (jewel case),Sega Saturn [EU]
725,Virtua Cop 2 (jewel case),Sega Saturn [EU]
726,Virtua Fighter 2,Sega Saturn [EU]
727,Virtua Fighter 3tb (black disc),Sega Dreamcast [EU]
728,Virtua Fighter 4,PlayStation 2 [EU]
729,Virtua Fighter 4 Evolution,PlayStation 2 [EU]
730,Virtua Fighter 5,Xbox 360 [EU]
731,Virtua Fighter Kids,Sega Saturn [EU]
732,Virtua Striker 2 Ver. 2000.1,Sega Dreamcast [EU]
733,Virtua Tennis,Sega Dreamcast [EU]
734,Virtua Tennis 2,Sega Dreamcast [EU]
735,Wet [UK],Xbox 360 [EU]
736,Wii Sports,Wii [EU]
737,Wii Sports Resort,Wii [EU]
738,Wipeout: Omega Collection (slipcover),PlayStation 4 [EU]
739,WWE Smackdown vs Raw 2007,PlayStation 2 [EU]
740,WWE SmackDown! Here Comes the Pain - Platinum,PlayStation 2 [EU]
741,WWE SmackDown! vs Raw 2006,PlayStation 2 [EU]
742,WWE SmackDown! vs. Raw,PlayStation 2 [EU]
743,Xbox Live Arcade Compilation Disc,Xbox 360 [EU]
744,Xbox Live Arcade Unplugged Volume 1,Xbox 360 [EU]
745,Yakuza [UK],PlayStation 2 [EU]
746,Yakuza 0,PlayStation 4 [EU]
747,Yakuza 2,PlayStation 2 [EU]
748,Yakuza 3,PlayStation 3 [EU]
749,Yakuza 4,PlayStation 3 [EU]
750,Yakuza 6: The Song of Life,PlayStation 4 [EU]
751,Yakuza Kiwami,PlayStation 4 [EU]
752,Yakuza Kiwami 2,PlayStation 4 [EU]
753,"Yakuza Remastered Collection, The (box)",PlayStation 4 [EU]
754,Yakuza: Dead Souls,PlayStation 3 [EU]
755,Yakuza: Like a Dragon,PlayStation 5 [EU]
756,Yooka-Laylee,PlayStation 4 [EU]
757,Yooka-Laylee and the Impossible Lair,PlayStation 4 [EU]
758,Yu-Gi-Oh! Capsule Monster Coliseum,PlayStation 2 [EU]
759,Yu-Gi-Oh! Forbidden Memories,PlayStation [EU]
760,Yu-Gi-Oh! The Duelists of the Roses (card text left) [UK],PlayStation 2 [EU]
761,Yu-Gi-Oh! World Championship Tournament 2004,Game Boy Advance [EU]
762,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,Game Boy Advance [EU]
763,Zone of the Enders (Metal Gear Solid 2),PlayStation 2 [EU]
764,Zone of the Enders: The 2nd Runner: Special Edition (black PEGI rating),PlayStation 2 [EU]
